id	ja	zh-TW	en	ko
1	つなキャン初心者	相約露營初學者	Camp Rookie	츠나캠 초보자
2	色づく景色	多彩風景	Colored Scenes	물들어 가는 경치
3	知らない世界も	未知的世界	Unknown Worlds	모르는 세상도
4	探しに行こうよ	一起尋找吧	Keep Searching	찾으러 가보자
5	never stop!	Never stop！	Never Stop!	Never stop!
6	窓を開けたら	當打開一扇窗	Opened Windows	창문을 열면
7	その向こうに	在那對面	The Other Side	그 너머에
8	世界は広がる	世界逐漸遼闊	Brand New World	세상이 펼쳐져
9	どこへでも行ける	能前往任何地方	Freedom to Roam	어디든지 가보자
10	トビラを開けて	開啟一扇門	Opened Doors	문을 열고
11	動き出す世界	開始運作的世界	Moving World	움직여 가는 세계
12	私は旅する	我將踏上旅程	My Journey	나는 여행을 떠나
13	Go my way!	Go my way！	Go My Way!	Go my way!
14	はじまりの一歩	啟程的第一步	First Step	시작의 첫걸음
15	近道はないけど	雖然沒有捷徑	No Shortcuts	지름길은 없지만
16	歩き続けて	不停走下去	Keep Walking	계속 걸어가며
17	光の向こうまで	直到光的另一頭	Into the Light	빛의 저 너머까지
18	はじめての△	第一次的△	My First Camp	처음 가는 △
19	なんどでも△	參加多次的△	Camping Life	몇 번이든 △
20	いーっぱい△	去了超──多次△	Camping Lots	한가득 △
21	なでキャン△！	撫子露營△！	NadeshiCamp!	나데캠△!
22	大型新人	大型新人	Big Shot Newbie	거물 신입
23	FUJIKO	FUJIKO	FUJIKO	FUJIKO
24	野クルレッド	野活紅	Outclub Red	야클 레드
25	つよいこなでしこ	撫子是堅強的孩子	Nadestrong	강한 아이
26	新しいときめき	新的悸動	A New Spark	새로운 두근거림
27	ココロも前へ	連同內心向前邁步	A Heart Ahead	마음도 앞으로
28	笑顔を探しに	前去尋找笑容	Smile Seeker	미소를 찾으러
29	飛び出そう未来へ	飛向未來	Future Flier	나아가자 미래로
30	少しの勇気	些許的勇氣	Little Courage	약간의 용기
31	素敵な予感	美妙預感	Lovely Hunch	멋진 예감
32	思いを重ねて	交織思念	Many Memories	마음을 포개며
33	きらめく今を	閃耀當下	Present Sparkle	빛나는 지금을
34	あたらしい風	新穎微風	A New Wind	새로운 바람
35	未来を描いて	描畫未來	Future Dreamer	미래를 그리며
36	巡るしあわせ	幸福輪迴	Circle of Joy	돌고 도는 행복
37	Feel so good!	Feel so good！	Feel So Good!	Feel so good!
38	小さなキセキ	小小奇蹟	Small Miracle	자그마한 기적
39	変わらない想い	不變思念	Steady Feelings	변함없는 마음
40	どこまでも前へ	不停向前	Always Moving	끝없는 앞을 향해
41	重ねていく夢と	伴隨著交織的夢想	Layered Dreams	쌓여가는 꿈과
42	リンキャン△！	小凜露營△！	RinCamp!	린캠△!
43	図書委員	圖書委員	Librarian!	도서위원
44	旅下手さん	不善旅行之人	Clumsy Traveler	여행 하수 씨
45	しまりん様！	志摩凜大人！	Shimarin-sama!	시마린 님!
46	ソロキャンガール	單人露營女孩	Solo Camper	솔로 캠핑 걸
47	ちあキャン△！	小明露營△！	AkiCamp!	아키캠△!
48	野クル部長	野活組社長	Outclub Leader	야클 부장
49	野クルブルー	野活藍	Outclub Blue	야클 블루
50	梨っ子あきちゃん	時髦露營家	Fancy Camper	패션 캠핑러
51	お洒落キャンパー	山梨人小明	Yamanashi Aki	나시코 아키
52	あおキャン△！	小葵露營△！	AoiCamp!	아오캠△!
53	野クル部員	野活組社員	Outclub Member	야클 부원
54	野クルイエロー	野活黃	Outclub Yellow	야클 옐로
55	イヌイヌイヌ子	犬犬犬子	Inuinuinuko	이누이누이누코
56	ホラ吹きガール	愛吹牛女孩	Boastful Girl	허풍쟁이 걸
57	えなキャン△！	惠那露營△！	EnaCamp!	에나캠△!
58	体験入隊	體驗入隊	Trial Member	체험 입대
59	帰宅部斉藤さん	回家社齊藤同學	Go-Home Club	귀가부 사이토
60	後ろの斉藤さん	後面的齊藤同學	Right Behind You	등 뒤의 사이토
61	ステルス斉藤さん	隱身的齊藤同學	Stealth Saito	스텔스 사이토
62	旅キャンはじまり！RECAMPおだわら	出發去旅遊露營！RECAMP小田原	Travel Camping Begins! RECAMP Odawara	여행캠 시작! RECAMP 오다와라
63	ブロンズ会員	銅牌會員	Bronze MBR	브론즈 회원
64	シルバー会員★	銀牌會員1	Silver MBR 1	실버 회원 1
65	シルバー会員★2	銀牌會員2	Silver MBR 2	실버 회원 2
66	シルバー会員★3	銀牌會員3	Silver MBR 3	실버 회원 3
67	シルバー会員★4	銀牌會員4	Silver MBR 4	실버 회원 4
68	シルバー会員★5	銀牌會員5	Silver MBR 5	실버 회원 5
69	ゴールド会員★	金牌會員1	Gold MBR 1	골드 회원 1
70	ゴールド会員★2	金牌會員2	Gold MBR 2	골드 회원 2
71	ゴールド会員★3	金牌會員3	Gold MBR 3	골드 회원 3
72	ゴールド会員★4	金牌會員4	Gold MBR 4	골드 회원 4
73	ゴールド会員★5	金牌會員5	Gold MBR 5	골드 회원 5
74	ブラック会員	黑牌會員	Black MBR	블랙 회원
75	夏だ！ビーチだ！海キャンだ！ 1位	夏天！沙灘！海邊露營！ 第一名	Sun, Sand, and Seaside Camp! 1st	여름이다! 해변이다! 바다 캠핑이다! 1위
76	夏だ！ビーチだ！海キャンだ！ 2位	夏天！沙灘！海邊露營！ 第二名	Sun, Sand, and Seaside Camp! 2nd	여름이다! 해변이다! 바다 캠핑이다! 2위
77	夏だ！ビーチだ！海キャンだ！ 3位	夏天！沙灘！海邊露營！ 第三名	Sun, Sand, and Seaside Camp! 3rd	여름이다! 해변이다! 바다 캠핑이다! 3위
78	夏だ！ビーチだ！海キャンだ！ TOP5	夏天！沙灘！海邊露營！ TOP5	Sun, Sand, and Seaside Camp! TOP5	여름이다! 해변이다! 바다 캠핑이다! TOP5
79	夏だ！ビーチだ！海キャンだ！ TOP10	夏天！沙灘！海邊露營！ TOP10	Sun, Sand, and Seaside Camp! TOP10	여름이다! 해변이다! 바다 캠핑이다! TOP10
80	夏だ！ビーチだ！海キャンだ！ TOP50	夏天！沙灘！海邊露營！ TOP50	Sun, Sand, and Seaside Camp! TOP50	여름이다! 해변이다! 바다 캠핑이다! TOP50
81	夏だ！ビーチだ！海キャンだ！ TOP100	夏天！沙灘！海邊露營！ TOP100	Sun, Sand, and Seaside Camp! TOP100	여름이다! 해변이다! 바다 캠핑이다! TOP100
82	夏だ！ビーチだ！海キャンだ！ TOP500	夏天！沙灘！海邊露營！ TOP500	Sun, Sand, and Seaside Camp! TOP500	여름이다! 해변이다! 바다 캠핑이다! TOP500
83	夏だ！ビーチだ！海キャンだ！ TOP1000	夏天！沙灘！海邊露營！ TOP1000	Sun, Sand, and Seaside Camp! TOP1000	여름이다! 해변이다! 바다 캠핑이다! TOP1000
84	夏だ！ビーチだ！海キャンだ！ TOP5000	夏天！沙灘！海邊露營！ TOP5000	Sun, Sand, and Seaside Camp! TOP5000	여름이다! 해변이다! 바다 캠핑이다! TOP5000
85	夏だ！ビーチだ！海キャンだ！ TOP10000	夏天！沙灘！海邊露營！ TOP10000	Sun, Sand, and Seaside Camp! TOP10000	여름이다! 해변이다! 바다 캠핑이다! TOP10000
86	レッツクラフト！at海キャン 1位	讓我們來製作吧！在海邊露營 第一名	Let's Craft! at Seaside Camp 1st	레츠 제작! at바다 캠핑 1위
87	レッツクラフト！at海キャン 2位	讓我們來製作吧！在海邊露營 第二名	Let's Craft! at Seaside Camp 2nd	레츠 제작! at바다 캠핑 2위
88	レッツクラフト！at海キャン 3位	讓我們來製作吧！在海邊露營 第三名	Let's Craft! at Seaside Camp 3rd	레츠 제작! at바다 캠핑 3위
89	レッツクラフト！at海キャン TOP5	讓我們來製作吧！在海邊露營 TOP5	Let's Craft! at Seaside Camp TOP5	레츠 제작! at바다 캠핑 TOP5
