id	key	text	text_en	text_tw	text_ko	priority	open_date	close_date	open_time	close_time
100	home_todayward_suffix_firstname	yurukyan				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
200	home_todayward_suffix_lastname	小姐先生				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
300	Label_login_C_message1	歡迎回來！				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
400	Label_login_C_message2	今天是 {0}，{1} 似乎已發送到您的禮品盒中。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
500	Label_login_C_message3	您明天登錄時似乎會收到 {0}。我在等你，請你再來				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
600	Label_login_S_message1	我們目前正在舉辦特別登錄獎勵！				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
700	Label_login_S_message2	作為對您登錄的感謝，我們將贈送您 {1} 作為禮物。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
800	Label_login_S_message3	您明天可以得到 {0}，所以一定要來。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
900	Label_login_S_message1	今天是情人節，不是嗎？				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1000	Label_login_S_message2	請收下我的禮物！				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1100	Label_login_S_message3	您明天可以得到 {0}，所以一定要來。				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1200	rd_update_confirm_dialog_text	"資源數據有更新。 
下載資源數據。"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1300	challenge_monthly_close_dialog_text	即將推出！				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1400	ygp_close_message	"Yahoo! Game Player 版本已結束
服務。 
對於因服務終止
而導致的付費鑽石退款，請在下方按鈕填​​寫所需信息後
與我們聯繫。"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
1500	appointment_default_member_message_1	"“時間到了！
我領先了！”"				100	2020-05-01 00:00:00	2100-12-31 00:00:00		
